Time,MinTemp,MaxTemp
1,30.0,43.01
2,30.0,51.18
3,30.0,56.68
4,30.0,60.51
5,30.0,63.2
6,30.0,65.1
7,30.0,66.44
8,30.0,67.39
9,30.0,68.06
10,30.0,68.54
11,30.0,68.87
12,30.0,69.11
13,30.0,69.28
14,30.0,69.4
15,30.0,69.48
16,30.0,69.54
17,30.0,69.59
18,30.0,69.62
19,30.0,69.64
20,30.0,69.65
21,30.0,69.66
22,30.0,69.67
23,30.0,69.68
24,30.0,69.68
25,30.0,69.68
26,30.0,69.68
27,30.0,69.68
28,30.0,69.69
29,30.0,69.69
30,30.0,69.69
31,30.0,69.69
32,30.0,69.69
33,30.0,69.69
34,30.0,69.69
35,30.0,69.69
36,30.0,69.69
37,30.0,69.69
38,30.0,69.69
39,30.0,69.69
40,30.0,69.69
41,30.0,69.69
42,30.0,69.69
43,30.0,69.69
44,30.0,69.69
45,30.0,69.69
46,30.0,69.69
47,30.0,69.69
48,30.0,69.69
49,30.0,69.69
50,30.0,69.69
