Time,MinTemp,MaxTemp
1,28.59,42.91
2,29.31,47.23
3,29.7,49.13
4,29.74,50.16
5,29.92,50.78
6,29.92,51.18
7,29.93,51.44
8,29.96,51.61
9,29.98,51.73
10,29.98,51.81
11,29.98,51.86
12,29.99,51.9
13,29.99,51.93
14,30.0,51.96
15,30.0,51.97
16,30.0,51.99
17,30.0,52.0
18,30.0,52.01
19,30.0,52.02
20,30.0,52.02
21,30.0,52.03
22,30.0,52.04
23,30.0,52.04
24,30.0,52.04
25,30.0,52.05
26,30.0,52.05
27,30.0,52.06
28,30.0,52.06
29,30.0,52.06
30,30.0,52.07
31,30.0,52.07
32,30.0,52.07
33,30.0,52.07
34,30.0,52.08
35,30.0,52.08
36,30.0,52.08
37,30.0,52.08
38,30.0,52.08
39,30.0,52.09
40,30.0,52.09
41,30.0,52.09
42,30.0,52.09
43,30.0,52.09
44,30.0,52.09
45,30.0,52.09
46,30.0,52.1
47,30.0,52.1
48,30.0,52.1
49,30.0,52.1
50,30.0,52.1
